03_015,"Bambara groundnut, Cream black-eye, dried, raw (Ghana) n=1","Pois bambara, œil crème et noir, sec, cru(Ghana)",03_015,"Bambara groundnut, cream black-eye, dry, raw (Ghana), n=1","Pois bambara, œil crème et noir, sec, cru (Ghana), n=1"
03_016,"Bambara groundnut, Cream pink-eye, dried, raw (Ghana) n=1","Pois bambara, œil crème et rose, sec, cru(Ghana)",03_016,"Bambara groundnut, cream pink-eye, dry, raw (Ghana), n=1","Pois bambara, œil crème et rose, sec, cru (Ghana), n=1"
03_017,"Bambara groundnut, maroon white-eye, dried, raw (Ghana) n=1","Pois bambara, œil bordeaux et blanc, sec, cru(Ghana)",03_017,"Bambara groundnut, maroon white-eye, dry, raw (Ghana), n=1","Pois bambara, œil bordeaux et blanc, sec, cru (Ghana), n=1"
03_018,"Bambara groundnut, combined varieties, dried, raw (Ghana)","Pois bambara, variétés combinées, sec, cru(Ghana)",03_018,"Bambara groundnut, combined varieties, dry, raw (Ghana)","Pois bambara, mélange de variétés, sec, cru (Ghana)"
03_019,"Bambara groundnut, combined varieties, boiled* (Ghana)(without salt)","Pois bambara, variétés combinées, bouilli* (Ghana) (sans sel)",03_019,"Bambara groundnut, combined varieties (Ghana), not soaked, boiled* (without salt), drained","Pois bambara, mélange de variétés (Ghana), non trempé, bouilli* (sans sel), égoutté"
03_002,"Bambara groundnut, red, dried, raw","Pois bambara, rouge, sec, cru",03_002,"Bambara groundnut, red, dry, raw","Pois bambara, rouge, sec, cru"
03_020,"Bambara groundnut, red, boiled*(without salt)","Pois bambara, rouge, bouilli* (sans sel)",03_020,"Bambara groundnut, red, not soaked, boiled* (without salt), drained","Pois bambara, rouge, non trempé, bouilli* (sans sel), égoutté"
03_003,"Bambara groundnuts, white, raw","Pois bambara, blanc, cru",03_003,"Bambara groundnut, white, dry, raw","Pois bambara, blanc, sec, cru"
03_021,"Bambara groundnuts, white, boiled* (without salt)","Pois bambara, blanc, bouilli* (sans sel)",03_021,"Bambara groundnut, white, not soaked, boiled* (without salt), drained","Pois bambara, blanc, non trempé, bouilli* (sans sel), égoutté"
03_022,"Beans, white, dried","Haricot, blanc, sec",03_022,"Bean, white, dry, raw","Haricot blanc, sec, cru"
03_023,"Beans, white, boiled* (without salt)","Haricot, blanc, bouilli* (sans sel)",03_023,"Bean, white, not soaked, boiled* (without salt), drained","Haricot blanc, non trempé, bouilli* (sans sel), égoutté"
03_024,"Broad beans, dried, raw","Fève, sèche, crue",03_024,"Broad bean, dry, raw","Fève, sèche, crue"
03_025,"Broad beans,  boiled* (without salt)","Fève, bouillie (sans sel)*",03_025,"Broad bean, not soaked, boiled* (without salt), drained","Fève, non trempée, bouillie* (sans sel), égouttée"
03_004,"Cowpea, dried, raw","Niébé, sec, cru",03_004,"Cowpea, dry, raw","Niébé, sec, cru"
03_007,"Cowpea, boiled* (without salt)","Niébé, bouilli* (sans sel)",03_007,"Cowpea, not soaked, boiled* (without salt), drained","Niébé, non trempé, bouilli* (sans sel), égoutté"
